formulator,original_sentence,cluster_label
Emerald,Any files under review should not be uploaded to a generative AI tool or LLM.,1
Emerald,"Emerald does, however, permit the use of generative AI tools for the copy-editing only of peer review reports to improve the quality of the language; the reviewer remains responsible for the accuracy and the integrity of the review, and must declare such usage clearly and transparently.",7
Emerald,"Peer reviewers are ultimately responsible for the reviews they provide and accountable for their accuracy, rigour, and validity, which, as per COPE’s position statement on AI tools, cannot be replicated by a non-human generative AI.",3
Emerald,Any breach of the integrity or trust of the review process as described above will be perceived as peer review misconduct.,5
Emerald,AI usage table The following table should be used as a reference point for submissions; this is not an exhaustive list of AI usage or applications to academic work.,1
Emerald,The use-cases are based on STM’s Recommendations for a Classification of AI Use in Academic Manuscript Preparation.,1
Emerald,Please refer to the overarching principles above for further guidance on this matter.,9
Emerald,Any questions on specific use-cases that are not addressed below should be directed to the appropriate Emerald editorial contact.,9
Emerald,AI Usage Example Permitted?,4
Emerald,"Abstract creation Creating, drafting, or writing all or part of the abstract using author-inputted prompts into a generative AI tool/LLM; this includes using AI tools to expand on text or generate machine summaries of previous work.",8
Emerald,"NO Abstract copy-editing Improving the author’s original existing work using a generative AI tool/LLM by either refining, correcting, editing, or formatting the abstract to improve clarity of language and grammar.",2
Emerald,"YES Hypothesis creation Creating, drafting, or writing all or part of the hypothesis or a set of research questions through author-inputted prompts into a generative AI tool/LLM.",8
Emerald,"NO Introduction creation Creating, drafting, or writing all or part of the introduction through author-inputted prompts into a generative AI tool/LLM; this includes using AI tools to expand on text or generate machine summaries of previous work.",8
Emerald,"NO Introduction copy-editing Improving the author’s original existing work using a generative AI tool/LLM by either refining, correcting, editing, or formatting the introduction to improve clarity of language and grammar.",2
Emerald,YES Methodology ideation Generating methodological approaches or identifying viable models for the initial research proposal by using a generative AI tool/LLM in the manner of a traditional search engine or study.,8
Emerald,"YES Methodology creation Creating, drafting, or writing all or part of the methodology through author-inputted prompts into a generative AI tool/LLM; this includes using AI tools to expand on text or generate machine summaries of previous work.",8
Emerald,"NO Methodology copy-editing Improving the author’s original existing work using a generative AI tool/LLM by either refining, correcting, editing, or formatting the methodology to improve clarity of language and grammar.",2
Emerald,YES Literature review/bibliography ideation Generating sources of relevant reading or identifying gaps in the literature for the initial research proposal by using a generative AI tool/LLM in the manner of a traditional search engine or study to assist in the compilation of a reference list.,8
Emerald,"YES Literature review/bibliography creation Creating, drafting, or writing all or part of a list of citations/references for the literature review, or evaluating and analysing the literature through author-inputted prompts into a generative AI tool/LLM.",8
Emerald,"NO Literature review/bibliography copy-editing Improving the author’s original existing work using a generative AI tool/LLM by either refining, correcting, editing, or formatting the literature review/bibliography to improve clarity of language and grammar.",2
Emerald,YES Data generation Creating or generating research data and results through author-inputted prompts into a generative AI tool/LLM.,8
Emerald,NO Data visualisation Generating figures/tables/infographics to provide a visual representation of results based on the author’s own already analysed and existing data through author-inputted prompts into a generative AI tool/LLM in the manner of traditional data visualisation.,8
Emerald,YES Results analysis Analysing or describing the data/results through author-inputted prompts into a generative AI tool/LLM.,8
Emerald,NO Results summary Summarising the author’s original existing data/results using a generative AI tool/LLM to improve accessibility and data curation.,8
Emerald,"YES Analysis/discussion copy-editing Improving the author’s original existing work using a generative AI tool/LLM by either refining, correcting, editing, or formatting the analysis/discussion to improve clarity of language and grammar.",2
Emerald,"YES Conclusion creation Creating, drafting, or writing all or part of the conclusion through author-inputted prompts into a generative AI tool/LLM.",8
Emerald,"NO Conclusion copy-editing Improving the author’s original existing work using a generative AI tool/LLM by either refining, correcting, editing, or formatting the conclusion to improve clarity of language and grammar.",2
Emerald,YES Code creation Generating code for the research through author-inputted prompts into a generative AI tool/LLM alone without any other human involvement.,8
Emerald,"NO Code copy-editing Improving the author’s original existing work using a generative AI tool/LLM by either refining, correcting, editing, or formatting the code to improve its readability.",2
Emerald,"YES Artistic renderings/cover art/design images/graphical abstracts Creating an image through author-inputted prompts into a generative AI tool such as (but not limited to) DALL-E; specifically, the use of text-to-image models to generate evidential or factual images from natural language descriptions for commercial use or to support scientific or technical claims.",8
Emerald,"NO Explanatory diagrams/teaching illustrations/ conceptual visualisations/ process flow diagrams Creating accurate representations of information through the use of a generative AI tool whereby the data can be attributed, checked, and verified for accuracy.",2
Emerald,"YES Conceptual and methodological figure generation Generating, refining, correcting, editing, or formatting a figure/table/infographic to represent a theoretical concept of the research visually or to present a visual representation of a methodology based on the author’s existing conceptual framework/methodological approach through author-inputted prompts into a generative AI tool/LLM.",8
Emerald,"YES Translation Translating the author’s original existing and previously unpublished work into English using a generative AI tool/LLM (the author must declare such usage and be able to confirm the accuracy and integrity of the work, remaining accountable and responsible for the content submitted).",7
Emerald,"YES Presenting AI-generated content as though it were original research data/results from non-machine sources Using generative AI tools or technology to create data, text, images, graphs, spectra, or other content that are presented as though it were original research data/results collected or analysed from other, non-machine sources.",2
Emerald,"NO Emerald’s use of AI tools and technology As a publisher committed to accountability and transparency, Emerald recognises that there is a place for the ethical and responsible use of AI tools and technology that supports editorial and publishing workflows, without detrimental impact to the core processes underpinning them or affecting the integrity and quality of the research content itself.",5
Emerald,"As a publisher, we have a moral obligation to preserve trust in our processes and publications for our authors, customers, and readers.",3
Emerald,Any use of AI tools and technology by Emerald will therefore be transparently disclosed as appropriate and undertaken in accordance with any relevant data privacy and protection laws and requirements.,5
Emerald,"Our use of AI tools and technology will also take into consideration the potential for structural biases and environmental and societal ramifications, and we will work to mitigate any negative effects to people and the planet.",0
Emerald,"Emerald maintains human oversight of its AI tools and technology, including any outcomes and results generated; no decision is made based on an algorithm alone to prevent perpetuating real-world biases and inequities.",2
Emerald,"We acknowledge that this area will continue to evolve at pace within the sector, and we will monitor these developments to ensure that our own usage, alongside our guidance and policies, continues to reflect industry best practice standards so that our publications remain committed to high-quality, trusted academic content, and that our practices and workflows remain transparent for our authors, customers, and readers.",3
Hopkins,"Generative AI Policy for AuthorsJohns Hopkins University Press recognizes the benefits and risks of generative AI (e.g., ChatGPT, Bard,and Bing) as it relates to the scholarship and research of our authors across our books and journalsprograms.",2
Hopkins,Following is our policy regarding generative AI for all of our publications.,4
Hopkins,Authorship.,4
Hopkins,Authors are accountable and legally responsible for the entirety of their work.,6
Hopkins,"Therefore, AIand Large Language Models (LLMs) tools do not qualify as authors and cannot be listed as such on anypublication.",1
Hopkins,The Press will not accept any work that is substantially written by an AI or LLM tool.,1
Hopkins,Transparency.,4
Hopkins,Authors must disclose their use of AI or LLMs in the work they are submitting for possiblepublication.,7
Hopkins,This must be done in two ways.,0
Hopkins,"First, the use of AI or LLMs must be acknowledged by ageneral statement of such use at the beginning of an article, in the front matter of a book, or in anotherprominent place in the work.",9
Hopkins,"Second, any use of generative AI or LLMs in text, images, graphs, tables, orother parts of the work must be cited as would be done with any external source.",2
Hopkins,"Specific citation stylesfor generative AI can be found in the following style guides from MLA, Chicago, and APA.",8
Hopkins,Responsibility and Accountability.,4
Hopkins,The author is fully responsible for the entirety of their work.,6
Hopkins,"Theymust ensure that it is original, accurate, does not plagiarize other’s work, and appropriately cites andreferences others’ work, including any content that is generated by AI or LLMs. The author accepts fullresponsibility and is solely accountable for any liability that may ensue from the use of AI or LLMs.The individual journals published by Johns Hopkins University Press may have more specific guidelinesfor the use of generative AI and LLMs.We will continue to monitor developments with these rapidly evolving technologies and are committedto adapting our policies accordingly.",7
icmje,"Authors Artificial Intelligence (AI)–Assisted Technology At submission, the journal should require authors to disclose whether they used Artificial Intelligence (AI)–assisted technologies (such as Large Language Models [LLMs], chatbots, or image creators) in the production of submitted work.",2
icmje,"Authors who use such technology should describe, in both the cover letter and the submitted work in the appropriate section if applicable, how they used it.",9
icmje,"For example, if AI was used for writing assistance, describe this in the acknowledgment section (see Section II.A.3).",9
icmje,"If AI was used for data collection, analysis, or figure generation, authors should describe this use in the methods (see Section IV.A.3.d).",9
icmje,"Chatbots (such as ChatGPT) should not be listed as authors because they cannot be responsible for the accuracy, integrity, and originality of the work, and these responsibilities are required for authorship (see Section II.A.1).",7
icmje,"Therefore, humans are responsible for any submitted material that included the use of AI-assisted technologies.",1
icmje,"Authors should carefully review and edit the result because AI can generate authoritative-sounding output that can be incorrect, incomplete, or biased.",2
icmje,"Authors should not list AI and AI-assisted technologies as an author or co-author, nor cite AI as an author.",1
icmje,"Authors should be able to assert that there is no plagiarism in their paper, including in text and images produced by the AI.",1
icmje,"Humans must ensure there is appropriate attribution of all quoted material, including full citations.",3
icmje,Use of AI for writing assistance should be reported in the acknowledgment section.,9
icmje,"Editors Editors therefore must not share information about manuscripts, including whether they have been received and are under review, their content and status in the review process, criticism by reviewers, and their ultimate fate, to anyone other than the authors and reviewers.",7
icmje,Editors should be aware that using AI technology in the processing of manuscripts may violate confidentiality.,1
icmje,"Requests from third parties to use manuscripts and reviews for legal proceedings should be politely refused, and editors should do their best not to provide such con-fidential material should it be subpoenaed.",1
icmje,"Editors must also make clear that reviewers should keep manuscripts, associated material, and the information they contain strictly confidential.",7
icmje,Instructions to reviewers should include guidance about AI use.,9
icmje,"Reviewers and editorial staff members must not publicly discuss the authors’ work, and reviewers must not appropriate authors’ ideas before the manuscript is published.",7
icmje,Reviewers must not retain the manuscript for their personal use and should destroy paper copies of manuscripts and delete electronic copies after submitting their reviews.,7
icmje,Reviewers Reviewers who seek assistance from a trainee or colleague in the performance of a review should acknowledge these individuals’ contributions in the written comments submitted to the editor.,7
icmje,"Reviewers must maintain the confidentiality of the manuscript as outlined above, which may prohibit the uploading of the manuscript to software or other AI technologies where confi- dentiality cannot be assured.",5
icmje,Reviewers must request permission from the journal prior to using AI technology to facilitate their review.,1
icmje,"Reviewers should be aware that AI can generate authoritative-sounding output that can be incorrect, incomplete, or biased.",2
IEEE,"Guidelines for Artificial Intelligence (AI)-Generated Content The use of content generated by artificial intelligence (AI) in an article (including but not limited to text, figures, images, and code) shall be disclosed in the acknowledgments section of any article submitted to an IEEE publication.",7
IEEE,"The AI system used shall be identified, and specific sections of the article that use AI-generated content shall be identified and accompanied by a brief explanation regarding the level at which the AI system was used to generate the content.",2
IEEE,"The use of AI systems for editing and grammar enhancement is common practice and, as such, is generally outside the intent of the above policy.",2
IEEE,"In this case, disclosure as noted above is not required, but recommended.",9
IEEE,Information or content contained in or about a manuscript under review shall not be processed through a public platform (directly or indirectly) for AI generation of content for a review.,6
IEEE,Doing so is considered a breach of confidentiality because AI systems generally learn from any input.,1
ISPOR,"Use of AI and AI-Assisted Technologies in Content Purpose ISPOR has implemented this policy on the use of artificial intelligence (AI) and AI-assisted technologies in content submissions to all ISPOR events, programs, and journals.",2
ISPOR,"Background Authors are increasingly using AI and AI-assisted technologies as a replacement for enhancement to human research tasks such as producing scientific insights, analyzing, and interpreting data, drawing scientific conclusions, or reporting in scientific publications and presentations.",2
ISPOR,"Applying the technology should be done with human oversight and control and authors should carefully review and edit the result, if necessary, because the output from AI may be incorrect, incomplete, or biased.",2
ISPOR,The authors are ultimately responsible and accountable for the accuracy and scientific integrity of their work.,6
ISPOR,Overview ISPOR encourages responsible use of AI or AI-assisted technologies.,4
ISPOR,"Responsible use includes disclosing whether AI was used to produce their submitted work(s), and if so, how it was used.",5
ISPOR,"Declaring the use of these technologies supports transparency between authors, readers, reviewers, editors, and contributors and may facilitate compliance with the terms of use of the relevant tool or technology.",7
ISPOR,"In addition to disclosure, in the methods section of any work, authors should state whether the AI tools/technology they used were validated, either by as a step in the research process, or by others (for example, prior data or works completed by them or by others).",2
ISPOR,"Authors are not permitted to list AI and AI-assisted technologies as an author or co-author, nor cite AI as a reference.",1
ISPOR,Authorship implies responsibilities and tasks that can only be attributed to and performed by humans.,5
ISPOR,Each (co-) author is accountable for ensuring that questions related to the accuracy or integrity of any part of the work are appropriately investigated and resolved and authorship requires the ability to approve the final version of the work and agree to its submission.,6
ISPOR,"Authors are also responsible for ensuring that the work is original, and that the stated authors qualify for authorship.",6
ISPOR,"Use of AI-assisted content will not be considered in deciding whether to accept or reject submitted content, but ISPOR reserves the right to withdraw accepted content found to be non-compliant with this policy.",5
ISPOR,Standard word processing spelling and grammar checks do not need to be disclosed.,1
ISPOR,ISPOR reserves the right to use AI detection software to assess the likelihood that the content was machine-generated and will enforce this policy to content where necessary in the context of its Code of Ethics.,5
ISPOR,"Further Information This policy was developed using good practice guidance and is aligned with the policies of Elsevier, ISPOR’s publisher for Value in Health and Value in Health Regional Issues.",0
ISPOR,Additional information on this policy may be obtained from the ISPOR Science Office.,9
MIT,AI Tools Policy on the use of AI tools by MIT Press authors and peer reviewers The MIT Press does not allow artificial intelligence (AI) tools such as ChatGPT or large language models (LLMs) to be listed as authors of our publications.,2
MIT,"The emerging consensus of scholarly organizations, including the Committee on Publication Ethics, is that AI tools do not meet the requirements for authorship since they cannot assume ethical and legal responsibility for their work.",5
MIT,MIT Press authors must represent to the press and to readers that their work is original as well as responsible and scholarly in its use of material created by others.,7
MIT,"Authors who use AI tools to produce text or images/graphics, or to collect data, must inform their editors of this use and be transparent about it in their manuscripts so that readers understand the role of these tools in the development of the work.",2
MIT,"Authors are fully responsible for the content of their manuscripts, including any portions produced by AI tools, and are liable for any ethical breaches that may result from the use of such content.",6
MIT,Usage of large language models or other artificial intelligence tools to assist in the peer review process is strictly prohibited.,1
SAGE,Publication ethics policies Artificial intelligence policy Sage recognises the value of artificial intelligence (AI) and its potential to help authors in the research and writing process.,3
SAGE,"Sage welcomes developments in this area to enhance opportunities for generating ideas, accelerating research discovery, synthesising, or analysing findings, polishing language, or structuring a submission.",2
SAGE,Large language models (LLMs) or Generative AI offer opportunities for acceleration in research and its dissemination.,8
SAGE,"While these opportunities can be transformative, they are unable to replicate human creative and critical thinking.",2
SAGE,"Sage’s policy on the use of AI technology has been developed to assist authors, reviewers and editors to make good judgements about the ethical use of such technology.",3
SAGE,For authors AI assistance We recognise that AI assisted writing has become more common as the technology becomes more accessible.,0
SAGE,"AI tools that make suggestions to improve or enhance your own work, such as tools to improve language, grammar or structure, are considered assistive AI tools and do not require disclosure by authors or reviewers.",2
SAGE,"However, authors are responsible for ensuring their submission is accurate and meets the standards for rigorous scholarship.",6
SAGE,"Generative AI The use of AI tools that can produce content such as generating references, text, images or any other form of content must be disclosed when used by authors or reviewers.",2
SAGE,"Authors should cite original sources, rather than Generative AI tools as primary sources within the references.",1
SAGE,"If your submission was primarily or partially generated using AI, this must be disclosed upon submission so the Editorial team can evaluate the content generated.",7
SAGE,"Authors are required to follow Sage guidelines, and in particular to: 1.Clearly indicate the use of language models in the manuscript, including which model was used and for what purpose.",9
SAGE,"Please use the methods or acknowledgements section, as appropriate.",9
SAGE,"2.Verify the accuracy, validity, and appropriateness of the content and any citations generated by language models and correct any errors, biases or inconsistencies.",2
SAGE,3.Be conscious of the potential for plagiarism where the LLM may have reproduced substantial text from other sources.,1
SAGE,Check the original sources to be sure you are not plagiarising someone else’s work.,7
SAGE,"4.Be conscious of the potential for fabrication where the LLM may have generated false content, including getting facts wrong, or generating citations that don’t exist.",2
SAGE,Ensure you have verified all claims in your article prior to submission.,7
SAGE,5.Please note that AI bots such as ChatGPT should not be listed as an author on your submission.,1
SAGE,"While submissions will not be rejected because of the disclosed use of generative AI, if the Editor becomes aware that Generative AI was inappropriately used in the preparation of a submission without disclosure, the Editor reserves the right to reject the submission at any time during the publishing process.",5
SAGE,"Inappropriate use of Generative AI includes the generation of incorrect text or content, plagiarism or inappropriate attribution to prior sources.",2
SAGE,For reviewers and editors The use of AI or LLMs for Editorial work presents confidentiality and copyright issues.,1
SAGE,The tool or model will learn from what it receives over time and may use it to provide outputs to others.,0
SAGE,AI assistance Reviewers may wish to use Generative AI to improve the quality of the language in their review.,1
SAGE,"If they do so, they maintain responsibility for the content, accuracy and constructive feedback within the review.",3
SAGE,Journal Editors maintain overall responsibility for the content published in their journal and act as gatekeepers of the scholarly record.,3
SAGE,Editors may use Generative AI tools for assistance in looking for suitable peer-reviewers.,1
SAGE,Generative AI Reviewers using ChatGPT or other Generative AI tools to generate review reports inappropriately will not be invited to review for the journal and their review will not be included in the final decision.,1
SAGE,"Editors must not use ChatGPT or other Generative AI to generate decision letters, or summaries of unpublished research.",8
SAGE,Undisclosed or Inappropriate use of Generative AI Reviewers suspecting the inappropriate or undisclosed use of generative AI in a submission should flag their concerns with the Journal Editor.,1
SAGE,"If Editors suspect the use of ChatGPT or any other generative AI in a submitted manuscript or a submitted review, they should consider this policy in undertaking an editorial assessment of the matter or contact their Sage representative for advice.",1
SAGE,Sage and the Journal Editor will lead a joint investigation into concerns raised about the inappropriate or undisclosed use of Generative AI in a published article.,1
SAGE,The investigation will be undertaken in accordance with guidance issued by COPE and our internal policies.,0
Springer Nature,Artificial Intelligence (AI) Springer Nature is monitoring ongoing developments in this area closely and will review (and update) these policies as appropriate.,0
Springer Nature,"AI authorship Large Language Models (LLMs), such as ChatGPT, do not currently satisfy our authorship criteria.",8
Springer Nature,"Notably an attribution of authorship carries with it accountability for the work, which cannot be effectively applied to LLMs. Use of an LLM should be properly documented in the Methods section (and if a Methods section is not available, in a suitable alternative part) of the manuscript.",9
Springer Nature,The use of an LLM (or other AI-tool) for “AI assisted copy editing” purposes does not need to be declared.,1
Springer Nature,"In this context, we define the term ""AI assisted copy editing"" as AI-assisted improvements to human-generated texts for readability and style, and to ensure that the texts are free of errors in grammar, spelling, punctuation and tone.",2
Springer Nature,"These AI-assisted improvements may include wording and formatting changes to the texts, but do not include generative editorial work and autonomous content creation.",2
Springer Nature,"In all cases, there must be human accountability for the final version of the text and agreement from the authors that the edits reflect their original work.",7
Springer Nature,Generative AI images The fast moving area of generative AI image creation has resulted in novel legal copyright and research integrity issues.,1
Springer Nature,"As publishers, we strictly follow existing copyright law and best practices regarding publication ethics.",3
Springer Nature,"While legal issues relating to AI-generated images and videos remain broadly unresolved, Springer Nature journals are unable to permit its use for publication.",1
Springer Nature,Exceptions: Images/art obtained from agencies that we have contractual relationships with that have created images in a legally acceptable manner.,5
Springer Nature,Images and videos that are directly referenced in a piece that is specifically about AI and such cases will be reviewed on a case-by-case basis.,1
Springer Nature,"The use of generative AI tools developed with specific sets of underlying scientific data that can be attributed, checked and verified for accuracy, provided that ethics, copyright and terms of use restrictions are adhered to.",5
Springer Nature,*All exceptions must be labelled clearly as generated by AI within the image field.,4
Springer Nature,"As we expect things to develop rapidly in this field in the near future, we will review this policy regularly and adapt it if necessary.",0
Springer Nature,Please note: Not all AI tools are generative.,4
Springer Nature,"The use of non-generative machine learning tools to manipulate, combine or enhance existing images or figures should be disclosed in the relevant caption upon submission to allow a case-by-case review.",1
Springer Nature,AI use by peer reviewers Peer reviewers play a vital role in scientific publishing.,3
Springer Nature,"Their expert evaluations and recommendations guide editors in their decisions and ensure that published research is valid, rigorous, and credible.",3
Springer Nature,Editors select peer reviewers primarily because of their in-depth knowledge of the subject matter or methods of the work they are asked to evaluate.,7
Springer Nature,This expertise is invaluable and irreplaceable.,3
Springer Nature,"Peer reviewers are accountable for the accuracy and views expressed in their reports, and the peer review process operates on a principle of mutual trust between authors, reviewers and editors.",3
Springer Nature,"Despite rapid progress, generative AI tools have considerable limitations: they can lack up-to-date knowledge and may produce nonsensical, biased or false information.",2
Springer Nature,Manuscripts may also include sensitive or proprietary information that should not be shared outside the peer review process.,7
Springer Nature,"For these reasons we ask that, while Springer Nature explores providing our peer reviewers with access to safe AI tools, peer reviewers do not upload manuscripts into generative AI tools.",1
Springer Nature,"If any part of the evaluation of the claims made in the manuscript was in any way supported by an AI tool, we ask peer reviewers to declare the use of such tools transparently in the peer review report.",7
Springer Nature,"Editorial use Nature Portfolio journals occasionally use internal Springer Nature-developed artificial intelligence tools to support the generation of accessory content, such as summary points.",1
Springer Nature,These are always edited and fact-checked by the author and/or editor to meet Nature Portfolio publication standards.,7
Springer Nature,Any substantive use of artificial intelligence beyond accessory content will be declared on an individual article basis.,1
Springer Nature,"Accessory content can include but is not limited to, key points, editorial summaries, glossary terms, plain language summaries and social media posts.",2
Springer,Artificial Intelligence (AI) Springer Nature is monitoring ongoing developments in this area closely and will review (and update) these policies as appropriate.,0
Springer,AI authorship 2.,4
Springer,Generative AI images 3.,4
Springer,"AI use by peer reviewers AI Authorship Large Language Models (LLMs), such as ChatGPT, do not currently satisfy our authorship criteria.",8
Springer,"Notably an attribution of authorship carries with it accountability for the work, which cannot be effectively applied to LLMs. Use of an LLM should be properly documented in the Methods section (and if a Methods section is not available, in a suitable alternative part) of the manuscript.",9
Springer,The use of an LLM (or other AI-tool) for “AI assisted copy editing” purposes does not need to be declared.,1
Springer,"In this context, we define the term ""AI assisted copy editing"" as AI-assisted improvements to human-generated texts for readability and style, and to ensure that the texts are free of errors in grammar, spelling, punctuation and tone.",2
Springer,"These AI-assisted improvements may include wording and formatting changes to the texts, but do not include generative editorial work and autonomous content creation.",2
Springer,"In all cases, there must be human accountability for the final version of the text and agreement from the authors that the edits reflect their original work.",7
Springer,Generative AI Images The fast moving area of generative AI image creation has resulted in novel legal copyright and research integrity issues.,1
Springer,"As publishers, we strictly follow existing copyright law and best practices regarding publication ethics.",3
Springer,"While legal issues relating to AI-generated images and videos remain broadly unresolved, Springer Nature journals are unable to permit its use for publication.",1
Springer,Exceptions: Images/art obtained from agencies that we have contractual relationships with that have created images in a legally acceptable manner.,5
Springer,Images and videos that are directly referenced in a piece that is specifically about AI and such cases will be reviewed on a case-by-case basis.,1
Springer,"The use of generative AI tools developed with specific sets of underlying scientific data that can be attributed, checked and verified for accuracy, provided that ethics, copyright and terms of use restrictions are adhered to.",5
Springer,*All exceptions must be labelled clearly as generated by AI within the image field.,4
Springer,"As we expect things to develop rapidly in this field in the near future, we will review this policy regularly and adapt it if necessary.",0
Springer,"NOTE: Examples of image types covered by this policy include: video and animation, including video stills; photography; illustration such as scientific diagrams, photo-illustrations and other collages, and editorial illustrations such as drawings, cartoons or other 2D or 3D visual representations.",2
Springer,"Not included in this policy are text-based and numerical display items, such as: tables, flow charts and other simple graphs that do not contain images.",2
Springer,Please note that not all AI tools are generative.,4
Springer,"The use of non-generative machine learning tools to manipulate, combine or enhance existing images or figures should be disclosed in the relevant caption upon submission to allow a case-by-case review.",1
Springer,AI use by peer reviewers Peer reviewers play a vital role in scientific publishing.,3
Springer,"Their expert evaluations and recommendations guide editors in their decisions and ensure that published research is valid, rigorous, and credible.",3
Springer,Editors select peer reviewers primarily because of their in-depth knowledge of the subject matter or methods of the work they are asked to evaluate.,7
Springer,This expertise is invaluable and irreplaceable.,3
Springer,"Peer reviewers are accountable for the accuracy and views expressed in their reports, and the peer review process operates on a principle of mutual trust between authors, reviewers and editors.",3
Springer,"Despite rapid progress, generative AI tools have considerable limitations: they can lack up-to-date knowledge and may produce nonsensical, biased or false information.",2
Springer,Manuscripts may also include sensitive or proprietary information that should not be shared outside the peer review process.,7
Springer,"For these reasons we ask that, while Springer Nature explores providing our peer reviewers with access to safe AI tools, peer reviewers do not upload manuscripts into generative AI tools.",1
Springer,"If any part of the evaluation of the claims made in the manuscript was in any way supported by an AI tool, we ask peer reviewers to declare the use of such tools transparently in the peer review report.",7
taylorandfrancis,"AI Policy Introduction Generative Artificial Intelligence (AI) tools, such as large language models (LLMs) or multimodal models, continue to develop and evolve, including in their application for businesses and consumers.",2
taylorandfrancis,"Taylor & Francis welcomes the new opportunities offered by Generative AI tools, particularly in: enhancing idea generation and exploration, supporting authors to express content in a non-native language, and accelerating the research and dissemination process.",2
taylorandfrancis,"Taylor & Francis is offering guidance to authors, editors, and reviewers on the use of such tools, which may evolve given the swift development of the AI field.",3
taylorandfrancis,"Generative AI tools can produce diverse forms of content, spanning text generation, image synthesis, audio, and synthetic data.",8
taylorandfrancis,"Some examples include ChatGPT, Copilot, Gemini, Claude, NovelAI, Jasper AI, DALL-E, Midjourney, Runway, etc.",8
taylorandfrancis,"While Generative AI has immense capabilities to enhance creativity for authors, there are certain risks associated with the current generation of Generative AI tools.",2
taylorandfrancis,"Some of the risks associated with the way Generative AI tools work today are: 1.Inaccuracy and bias: Generative AI tools are of a statistical nature (as opposed to factual) and, as such, can introduce inaccuracies, falsities (so-called hallucinations) or bias, which can be hard to detect, verify, and correct.",2
taylorandfrancis,"2.Lack of attribution: Generative AI is often lacking the standard practice of the global scholarly community of correctly and precisely attributing ideas, quotes, or citations.",2
taylorandfrancis,"3.Confidentiality and Intellectual Property Risks: At present, Generative AI tools are often used on third-party platforms that may not offer sufficient standards of confidentiality, data security, or copyright protection.",5
taylorandfrancis,4.Unintended uses: Generative AI providers may reuse the input or output data from user interactions (e.g. for AI training).,8
taylorandfrancis,"This practice could potentially infringe on the rights of authors and publishers, amongst others.",5
taylorandfrancis,"Authors Authors are accountable for the originality, validity, and integrity of the content of their submissions.",6
taylorandfrancis,"In choosing to use Generative AI tools, journal authors are expected to do so responsibly and in accordance with our journal editorial policies on authorship and principles of publishing ethics and book authors in accordance with our book publishing guidelines.",3
taylorandfrancis,This includes reviewing the outputs of any Generative AI tools and confirming content accuracy.,1
taylorandfrancis,"Taylor & Francis supports the responsible use of Generative AI tools that respect high standards of data security, confidentiality, and copyright protection in cases such as: Idea generation and idea exploration Language improvement Interactive online search with LLM-enhanced search engines Literature classification Coding assistance Authors are responsible for ensuring that the content of their submissions meets the required standards of rigorous scientific and scholarly assessment, research and validation, and is created by the author.",5
taylorandfrancis,"Note that some journals may not allow use of Generative AI tools beyond language improvement, therefore authors are advised to consult with the editor of the journal prior to submission.",1
taylorandfrancis,"Generative AI tools must not be listed as an author, because such tools are unable to assume responsibility for the submitted content or manage copyright and licensing agreements.",5
taylorandfrancis,"Authorship requires taking accountability for content, consenting to publication via a publishing agreement, and giving contractual assurances about the integrity of the work, among other principles.",5
taylorandfrancis,These are uniquely human responsibilities that cannot be undertaken by Generative AI tools.,4
taylorandfrancis,"Authors must clearly acknowledge within the article or book any use of Generative AI tools through a statement which includes: the full name of the tool used (with version number), how it was used, and the reason for use.",9
taylorandfrancis,"For article submissions, this statement must be included in the Methods or Acknowledgments section.",9
taylorandfrancis,"Book authors must disclose their intent to employ Generative AI tools at the earliest possible stage to their editorial contacts for approval – either at the proposal phase if known, or if necessary, during the manuscript writing phase.",1
taylorandfrancis,"If approved, the book author must then include the statement in the preface or introduction of the book.",9
taylorandfrancis,This level of transparency ensures that editors can assess whether Generative AI tools have been used and whether they have been used responsibly.,0
taylorandfrancis,"Taylor & Francis will retain its discretion over publication of the work, to ensure that integrity and guidelines have been upheld.",6
taylorandfrancis,"If an author is intending to use an AI tool, they should ensure that the tool is appropriate and robust for their proposed use, and that the terms applicable to such tool provide sufficient safeguards and protections, for example around intellectual property rights, confidentiality and security.",5
taylorandfrancis,"Authors should not submit manuscripts where Generative AI tools have been used in ways that replace core researcher and author responsibilities, for example: text or code generation without rigorous revision synthetic data generation to substitute missing data without robust methodology generation of any types of content which is inaccurate including abstracts or supplemental materials These types of cases may be subject to editorial investigation.",1
taylorandfrancis,"Taylor & Francis currently does not permit the use of Generative AI in the creation and manipulation of images and figures, or original research data for use in our publications.",6
taylorandfrancis,"The term “images and figures” includes pictures, charts, data tables, medical imagery, snippets of images, computer code, and formulas.",2
taylorandfrancis,"The term “manipulation” includes augmenting, concealing, moving, removing, or introducing a specific feature within an image or figure.",2
taylorandfrancis,"For additional information on Taylor & Francis’ image policy for journals, please see Images and figures.",6
taylorandfrancis,Utilising Generative AI and AI-assisted technologies in any part of the research process should always be undertaken with human oversight and transparency.,0
taylorandfrancis,Research ethics guidelines are still being updated regarding current Generative AI technologies.,0
taylorandfrancis,Taylor & Francis will continue to update our editorial guidelines as the technology and research ethics guidelines evolve.,3
taylorandfrancis,Editors and Peer Reviewers Taylor & Francis strives for the highest standards of editorial integrity and transparency.,3
